ID,Year,Date,Stage,Home Team,Home Goals,Away Goals,Away Team,Winning Team,Losing Team,Win Conditions,Host Team
609,2002,2002/6/9,Group stage,Japan,1,0,Russia,Japan,Russia,,TRUE
610,2002,2002/6/10,Group stage,South Korea,1,1,United States,,,,TRUE
611,2002,2002/6/10,Group stage,Tunisia,1,1,Belgium,,,,FALSE
612,2002,2002/6/10,Group stage,Portugal,4,0,Poland,Portugal,Poland,,FALSE
613,2002,2002/6/11,Group stage,Denmark,2,0,France,Denmark,France,,FALSE
614,2002,2002/6/11,Group stage,Senegal,3,3,Uruguay,,,,FALSE
615,2002,2002/6/11,Group stage,Saudi Arabia,0,3,Republic of Ireland,Republic of Ireland,Saudi Arabia,,FALSE
616,2002,2002/6/11,Group stage,Cameroon,0,2,Germany,Germany,Cameroon,,FALSE
617,2002,2002/6/12,Group stage,Sweden,1,1,Argentina,,,,FALSE
618,2002,2002/6/12,Group stage,Nigeria,0,0,England,,,,FALSE
619,2002,2002/6/12,Group stage,Slovenia,1,3,Paraguay,Paraguay,Slovenia,,FALSE
620,2002,2002/6/12,Group stage,South Africa,2,3,Spain,Spain,South Africa,,FALSE
621,2002,2002/6/13,Group stage,Costa Rica,2,5,Brazil,Brazil,Costa Rica,,FALSE
622,2002,2002/6/13,Group stage,Turkey,3,0,China,Turkey,China,,FALSE
623,2002,2002/6/13,Group stage,Ecuador,1,0,Croatia,Ecuador,Croatia,,FALSE
624,2002,2002/6/13,Group stage,Mexico,1,1,Italy,,,,FALSE
625,2002,2002/6/14,Group stage,Japan,2,0,Tunisia,Japan,Tunisia,,TRUE
626,2002,2002/6/14,Group stage,Belgium,3,2,Russia,Belgium,Russia,,FALSE
627,2002,2002/6/14,Group stage,South Korea,1,0,Portugal,South Korea,Portugal,,TRUE
628,2002,2002/6/14,Group stage,Poland,3,1,United States,Poland,United States,,FALSE
629,2002,2002/6/15,Round of 16,Germany,1,0,Paraguay,Germany,Paraguay,,FALSE
630,2002,2002/6/15,Round of 16,Denmark,0,3,England,England,Denmark,,FALSE
631,2002,2002/6/16,Round of 16,Sweden,1,2,Senegal,Senegal,Sweden,Golden goal,FALSE
632,2002,2002/6/16,Round of 16,Spain,1,1,Republic of Ireland,,,Spain win on penalties (3 - 2),FALSE
633,2002,2002/6/17,Round of 16,Mexico,0,2,United States,United States,Mexico,,FALSE
634,2002,2002/6/17,Round of 16,Brazil,2,0,Belgium,Brazil,Belgium,,FALSE
635,2002,2002/6/18,Round of 16,Japan,0,1,Turkey,Turkey,Japan,,TRUE
636,2002,2002/6/18,Round of 16,South Korea,2,1,Italy,South Korea,Italy,Golden goal,TRUE
637,2002,2002/6/21,Quarter-finals,England,1,2,Brazil,Brazil,England,,FALSE
638,2002,2002/6/21,Quarter-finals,Germany,1,0,United States,Germany,United States,,FALSE
639,2002,2002/6/22,Quarter-finals,South Korea,0,0,Spain,,,South Korea win on penalties (3 - 5),TRUE
640,2002,2002/6/22,Quarter-finals,Senegal,0,1,Turkey,Turkey,Senegal,Golden goal,FALSE
641,2002,2002/6/25,Semi-finals,South Korea,0,1,Germany,Germany,South Korea,,TRUE
642,2002,2002/6/26,Semi-finals,Brazil,1,0,Turkey,Brazil,Turkey,,FALSE
643,2002,2002/6/29,Third place,South Korea,2,3,Turkey,Turkey,South Korea,,TRUE
644,2002,2002/6/30,Final,Germany,0,2,Brazil,Brazil,Germany,,FALSE
645,2006,2006/6/9,Group stage,Germany,4,2,Costa Rica,Germany,Costa Rica,,TRUE
646,2006,2006/6/9,Group stage,Poland,0,2,Ecuador,Ecuador,Poland,,FALSE
647,2006,2006/6/10,Group stage,England,1,0,Paraguay,England,Paraguay,,FALSE
648,2006,2006/6/10,Group stage,Trinidad and Tobago,0,0,Sweden,,,,FALSE
649,2006,2006/6/10,Group stage,Argentina,2,1,Ivory Coast,Argentina,Ivory Coast,,FALSE
650,2006,2006/6/11,Group stage,Serbia,0,1,Netherlands,Netherlands,Serbia,,FALSE
651,2006,2006/6/11,Group stage,Mexico,3,1,Iran,Mexico,Iran,,FALSE
652,2006,2006/6/11,Group stage,Angola,0,1,Portugal,Portugal,Angola,,FALSE
653,2006,2006/6/12,Group stage,Australia,3,1,Japan,Australia,Japan,,FALSE
654,2006,2006/6/12,Group stage,United States,0,3,Czech Republic,Czech Republic,United States,,FALSE
655,2006,2006/6/12,Group stage,Italy,2,0,Ghana,Italy,Ghana,,FALSE
656,2006,2006/6/13,Group stage,South Korea,2,1,Togo,South Korea,Togo,,FALSE
657,2006,2006/6/13,Group stage,France,0,0,Switzerland,,,,FALSE
658,2006,2006/6/13,Group stage,Brazil,1,0,Croatia,Brazil,Croatia,,FALSE
659,2006,2006/6/14,Group stage,Spain,4,0,Ukraine,Spain,Ukraine,,FALSE
660,2006,2006/6/14,Group stage,Tunisia,2,2,Saudi Arabia,,,,FALSE
661,2006,2006/6/14,Group stage,Germany,1,0,Poland,Germany,Poland,,TRUE
662,2006,2006/6/15,Group stage,Ecuador,3,0,Costa Rica,Ecuador,Costa Rica,,FALSE
663,2006,2006/6/15,Group stage,England,2,0,Trinidad and Tobago,England,Trinidad and Tobago,,FALSE
664,2006,2006/6/15,Group stage,Sweden,1,0,Paraguay,Sweden,Paraguay,,FALSE
665,2006,2006/6/16,Group stage,Argentina,6,0,Serbia,Argentina,Serbia,,FALSE
666,2006,2006/6/16,Group stage,Netherlands,2,1,Ivory Coast,Netherlands,Ivory Coast,,FALSE
667,2006,2006/6/16,Group stage,Mexico,0,0,Angola,,,,FALSE
668,2006,2006/6/17,Group stage,Portugal,2,0,Iran,Portugal,Iran,,FALSE
669,2006,2006/6/17,Group stage,Czech Republic,0,2,Ghana,Ghana,Czech Republic,,FALSE
670,2006,2006/6/17,Group stage,Italy,1,1,United States,,,,FALSE
671,2006,2006/6/18,Group stage,Japan,0,0,Croatia,,,,FALSE
672,2006,2006/6/18,Group stage,Brazil,2,0,Australia,Brazil,Australia,,FALSE
673,2006,2006/6/18,Group stage,France,1,1,South Korea,,,,FALSE
674,2006,2006/6/19,Group stage,Togo,0,2,Switzerland,Switzerland,Togo,,FALSE
675,2006,2006/6/19,Group stage,Saudi Arabia,0,4,Ukraine,Ukraine,Saudi Arabia,,FALSE
676,2006,2006/6/19,Group stage,Spain,3,1,Tunisia,Spain,Tunisia,,FALSE
677,2006,2006/6/20,Group stage,Germany,3,0,Ecuador,Germany,Ecuador,,TRUE
678,2006,2006/6/20,Group stage,Costa Rica,1,2,Poland,Poland,Costa Rica,,FALSE
679,2006,2006/6/20,Group stage,Sweden,2,2,England,,,,FALSE
680,2006,2006/6/20,Group stage,Paraguay,2,0,Trinidad and Tobago,Paraguay,Trinidad and Tobago,,FALSE
681,2006,2006/6/21,Group stage,Iran,1,1,Angola,,,,FALSE
682,2006,2006/6/21,Group stage,Portugal,2,1,Mexico,Portugal,Mexico,,FALSE
683,2006,2006/6/21,Group stage,Netherlands,0,0,Argentina,,,,FALSE
684,2006,2006/6/21,Group stage,Ivory Coast,3,2,Serbia,Ivory Coast,Serbia,,FALSE
685,2006,2006/6/22,Group stage,Czech Republic,0,2,Italy,Italy,Czech Republic,,FALSE
686,2006,2006/6/22,Group stage,Ghana,2,1,United States,Ghana,United States,,FALSE
687,2006,2006/6/22,Group stage,Japan,1,4,Brazil,Brazil,Japan,,FALSE
688,2006,2006/6/22,Group stage,Croatia,2,2,Australia,,,,FALSE
689,2006,2006/6/23,Group stage,Ukraine,1,0,Tunisia,Ukraine,Tunisia,,FALSE
690,2006,2006/6/23,Group stage,Saudi Arabia,0,1,Spain,Spain,Saudi Arabia,,FALSE
691,2006,2006/6/23,Group stage,Togo,0,2,France,France,Togo,,FALSE
692,2006,2006/6/23,Group stage,Switzerland,2,0,South Korea,Switzerland,South Korea,,FALSE
693,2006,2006/6/24,Round of 16,Germany,2,0,Sweden,Germany,Sweden,,TRUE
694,2006,2006/6/24,Round of 16,Argentina,2,1,Mexico,Argentina,Mexico,Extra time,FALSE
695,2006,2006/6/25,Round of 16,England,1,0,Ecuador,England,Ecuador,,FALSE
696,2006,2006/6/25,Round of 16,Portugal,1,0,Netherlands,Portugal,Netherlands,,FALSE
697,2006,2006/6/26,Round of 16,Italy,1,0,Australia,Italy,Australia,,FALSE
698,2006,2006/6/26,Round of 16,Switzerland,0,0,Ukraine,,,Ukraine win on penalties (0 - 3),FALSE
699,2006,2006/6/27,Round of 16,Brazil,3,0,Ghana,Brazil,Ghana,,FALSE
700,2006,2006/6/27,Round of 16,Spain,1,3,France,France,Spain,,FALSE
701,2006,2006/6/30,Quarter-finals,Germany,1,1,Argentina,,,Germany win on penalties (4 - 2),TRUE
702,2006,2006/6/30,Quarter-finals,Italy,3,0,Ukraine,Italy,Ukraine,,FALSE
703,2006,2006/7/1,Quarter-finals,England,0,0,Portugal,,,Portugal win on penalties (1 - 3),FALSE
704,2006,2006/7/1,Quarter-finals,Brazil,0,1,France,France,Brazil,,FALSE
705,2006,2006/7/4,Semi-finals,Germany,0,2,Italy,Italy,Germany,Extra time,TRUE
706,2006,2006/7/5,Semi-finals,Portugal,0,1,France,France,Portugal,,FALSE
707,2006,2006/7/8,Third place,Germany,3,1,Portugal,Germany,Portugal,,TRUE
708,2006,2006/7/9,Final,Italy,1,1,France,,,Italy win on penalties (5 - 3),FALSE
709,2010,2010/6/11,Group stage,South Africa,1,1,Mexico,,,,TRUE
710,2010,2010/6/11,Group stage,Uruguay,0,0,France,,,,FALSE
711,2010,2010/6/12,Group stage,South Korea,2,0,Greece,South Korea,Greece,,FALSE
712,2010,2010/6/12,Group stage,Argentina,1,0,Nigeria,Argentina,Nigeria,,FALSE
713,2010,2010/6/12,Group stage,England,1,1,United States,,,,FALSE
714,2010,2010/6/13,Group stage,Algeria,0,1,Slovenia,Slovenia,Algeria,,FALSE
715,2010,2010/6/13,Group stage,Serbia,0,1,Ghana,Ghana,Serbia,,FALSE
716,2010,2010/6/13,Group stage,Germany,4,0,Australia,Germany,Australia,,FALSE
717,2010,2010/6/14,Group stage,Netherlands,2,0,Denmark,Netherlands,Denmark,,FALSE
718,2010,2010/6/14,Group stage,Japan,1,0,Cameroon,Japan,Cameroon,,FALSE
719,2010,2010/6/14,Group stage,Italy,1,1,Paraguay,,,,FALSE
720,2010,2010/6/15,Group stage,New Zealand,1,1,Slovakia,,,,FALSE
721,2010,2010/6/15,Group stage,Ivory Coast,0,0,Portugal,,,,FALSE
722,2010,2010/6/15,Group stage,Brazil,2,1,North Korea,Brazil,North Korea,,FALSE
723,2010,2010/6/16,Group stage,Honduras,0,1,Chile,Chile,Honduras,,FALSE
724,2010,2010/6/16,Group stage,Spain,0,1,Switzerland,Switzerland,Spain,,FALSE
725,2010,2010/6/16,Group stage,South Africa,0,3,Uruguay,Uruguay,South Africa,,TRUE
726,2010,2010/6/17,Group stage,Argentina,4,1,South Korea,Argentina,South Korea,,FALSE
727,2010,2010/6/17,Group stage,Greece,2,1,Nigeria,Greece,Nigeria,,FALSE
728,2010,2010/6/17,Group stage,France,0,2,Mexico,Mexico,France,,FALSE
729,2010,2010/6/18,Group stage,Germany,0,1,Serbia,Serbia,Germany,,FALSE
730,2010,2010/6/18,Group stage,Slovenia,2,2,United States,,,,FALSE
731,2010,2010/6/18,Group stage,England,0,0,Algeria,,,,FALSE
732,2010,2010/6/19,Group stage,Netherlands,1,0,Japan,Netherlands,Japan,,FALSE
733,2010,2010/6/19,Group stage,Ghana,1,1,Australia,,,,FALSE
734,2010,2010/6/19,Group stage,Cameroon,1,2,Denmark,Denmark,Cameroon,,FALSE
735,2010,2010/6/20,Group stage,Slovakia,0,2,Paraguay,Paraguay,Slovakia,,FALSE
736,2010,2010/6/20,Group stage,Italy,1,1,New Zealand,,,,FALSE
737,2010,2010/6/20,Group stage,Brazil,3,1,Ivory Coast,Brazil,Ivory Coast,,FALSE
738,2010,2010/6/21,Group stage,Portugal,7,0,North Korea,Portugal,North Korea,,FALSE
739,2010,2010/6/21,Group stage,Chile,1,0,Switzerland,Chile,Switzerland,,FALSE
740,2010,2010/6/21,Group stage,Spain,2,0,Honduras,Spain,Honduras,,FALSE
741,2010,2010/6/22,Group stage,Mexico,0,1,Uruguay,Uruguay,Mexico,,FALSE
742,2010,2010/6/22,Group stage,South Africa,2,1,France,South Africa,France,,TRUE
743,2010,2010/6/22,Group stage,Nigeria,2,2,South Korea,,,,FALSE
744,2010,2010/6/22,Group stage,Greece,0,2,Argentina,Argentina,Greece,,FALSE
745,2010,2010/6/23,Group stage,Slovenia,0,1,England,England,Slovenia,,FALSE
746,2010,2010/6/23,Group stage,United States,1,0,Algeria,United States,Algeria,,FALSE
747,2010,2010/6/23,Group stage,Ghana,0,1,Germany,Germany,Ghana,,FALSE
748,2010,2010/6/23,Group stage,Australia,2,1,Serbia,Australia,Serbia,,FALSE
749,2010,2010/6/24,Group stage,Slovakia,3,2,Italy,Slovakia,Italy,,FALSE
750,2010,2010/6/24,Group stage,Paraguay,0,0,New Zealand,,,,FALSE
751,2010,2010/6/24,Group stage,Denmark,1,3,Japan,Japan,Denmark,,FALSE
752,2010,2010/6/24,Group stage,Cameroon,1,2,Netherlands,Netherlands,Cameroon,,FALSE
753,2010,2010/6/25,Group stage,Portugal,0,0,Brazil,,,,FALSE
754,2010,2010/6/25,Group stage,North Korea,0,3,Ivory Coast,Ivory Coast,North Korea,,FALSE
755,2010,2010/6/25,Group stage,Chile,1,2,Spain,Spain,Chile,,FALSE
756,2010,2010/6/25,Group stage,Switzerland,0,0,Honduras,,,,FALSE
757,2010,2010/6/26,Round of 16,Uruguay,2,1,South Korea,Uruguay,South Korea,,FALSE
758,2010,2010/6/26,Round of 16,United States,1,2,Ghana,Ghana,United States,Extra time,FALSE
759,2010,2010/6/27,Round of 16,Germany,4,1,England,Germany,England,,FALSE
760,2010,2010/6/27,Round of 16,Argentina,3,1,Mexico,Argentina,Mexico,,FALSE
761,2010,2010/6/28,Round of 16,Netherlands,2,1,Slovakia,Netherlands,Slovakia,,FALSE
762,2010,2010/6/28,Round of 16,Brazil,3,0,Chile,Brazil,Chile,,FALSE
763,2010,2010/6/29,Round of 16,Paraguay,0,0,Japan,,,Paraguay win on penalties (5 - 3),FALSE
764,2010,2010/6/29,Round of 16,Spain,1,0,Portugal,Spain,Portugal,,FALSE
765,2010,2010/7/2,Quarter-finals,Netherlands,2,1,Brazil,Netherlands,Brazil,,FALSE
766,2010,2010/7/2,Quarter-finals,Uruguay,1,1,Ghana,,,Uruguay win on penalties (4 - 2),FALSE
767,2010,2010/7/3,Quarter-finals,Argentina,0,4,Germany,Germany,Argentina,,FALSE
768,2010,2010/7/3,Quarter-finals,Paraguay,0,1,Spain,Spain,Paraguay,,FALSE
769,2010,2010/7/6,Semi-finals,Uruguay,2,3,Netherlands,Netherlands,Uruguay,,FALSE
770,2010,2010/7/7,Semi-finals,Germany,0,1,Spain,Spain,Germany,,FALSE
771,2010,2010/7/10,Third place,Uruguay,2,3,Germany,Germany,Uruguay,,FALSE
772,2010,2010/7/11,Final,Netherlands,0,1,Spain,Spain,Netherlands,Extra time,FALSE
773,2014,2014/6/12,Group stage,Brazil,3,1,Croatia,Brazil,Croatia,,TRUE
774,2014,2014/6/13,Group stage,Mexico,1,0,Cameroon,Mexico,Cameroon,,FALSE
775,2014,2014/6/13,Group stage,Spain,1,5,Netherlands,Netherlands,Spain,,FALSE
776,2014,2014/6/13,Group stage,Chile,3,1,Australia,Chile,Australia,,FALSE
777,2014,2014/6/14,Group stage,Colombia,3,0,Greece,Colombia,Greece,,FALSE
778,2014,2014/6/14,Group stage,Uruguay,1,3,Costa Rica,Costa Rica,Uruguay,,FALSE
779,2014,2014/6/14,Group stage,England,1,2,Italy,Italy,England,,FALSE
780,2014,2014/6/14,Group stage,Ivory Coast,2,1,Japan,Ivory Coast,Japan,,FALSE
781,2014,2014/6/15,Group stage,Switzerland,2,1,Ecuador,Switzerland,Ecuador,,FALSE
782,2014,2014/6/15,Group stage,France,3,0,Honduras,France,Honduras,,FALSE
783,2014,2014/6/15,Group stage,Argentina,2,1,Bosnia and Herzegovina,Argentina,Bosnia and Herzegovina,,FALSE
784,2014,2014/6/16,Group stage,Germany,4,0,Portugal,Germany,Portugal,,FALSE
785,2014,2014/6/16,Group stage,Iran,0,0,Nigeria,,,,FALSE
786,2014,2014/6/16,Group stage,Ghana,1,2,United States,United States,Ghana,,FALSE
787,2014,2014/6/17,Group stage,Belgium,2,1,Algeria,Belgium,Algeria,,FALSE
788,2014,2014/6/17,Group stage,Brazil,0,0,Mexico,,,,TRUE
789,2014,2014/6/17,Group stage,Russia,1,1,South Korea,,,,FALSE
790,2014,2014/6/18,Group stage,Australia,2,3,Netherlands,Netherlands,Australia,,FALSE
791,2014,2014/6/18,Group stage,Spain,0,2,Chile,Chile,Spain,,FALSE
792,2014,2014/6/18,Group stage,Cameroon,0,4,Croatia,Croatia,Cameroon,,FALSE
793,2014,2014/6/19,Group stage,Colombia,2,1,Ivory Coast,Colombia,Ivory Coast,,FALSE
794,2014,2014/6/19,Group stage,Uruguay,2,1,England,Uruguay,England,,FALSE
795,2014,2014/6/19,Group stage,Japan,0,0,Greece,,,,FALSE
796,2014,2014/6/20,Group stage,Italy,0,1,Costa Rica,Costa Rica,Italy,,FALSE
797,2014,2014/6/20,Group stage,Switzerland,2,5,France,France,Switzerland,,FALSE
798,2014,2014/6/20,Group stage,Honduras,1,2,Ecuador,Ecuador,Honduras,,FALSE
799,2014,2014/6/21,Group stage,Argentina,1,0,Iran,Argentina,Iran,,FALSE
800,2014,2014/6/21,Group stage,Germany,2,2,Ghana,,,,FALSE
801,2014,2014/6/21,Group stage,Nigeria,1,0,Bosnia and Herzegovina,Nigeria,Bosnia and Herzegovina,,FALSE
802,2014,2014/6/22,Group stage,Belgium,1,0,Russia,Belgium,Russia,,FALSE
803,2014,2014/6/22,Group stage,South Korea,2,4,Algeria,Algeria,South Korea,,FALSE
804,2014,2014/6/22,Group stage,United States,2,2,Portugal,,,,FALSE
805,2014,2014/6/23,Group stage,Australia,0,3,Spain,Spain,Australia,,FALSE
806,2014,2014/6/23,Group stage,Netherlands,2,0,Chile,Netherlands,Chile,,FALSE
807,2014,2014/6/23,Group stage,Brazil,4,1,Cameroon,Brazil,Cameroon,,TRUE
808,2014,2014/6/23,Group stage,Croatia,1,3,Mexico,Mexico,Croatia,,FALSE
809,2014,2014/6/24,Group stage,Italy,0,1,Uruguay,Uruguay,Italy,,FALSE
810,2014,2014/6/24,Group stage,Costa Rica,0,0,England,,,,FALSE
811,2014,2014/6/24,Group stage,Japan,1,4,Colombia,Colombia,Japan,,FALSE
812,2014,2014/6/24,Group stage,Greece,2,1,Ivory Coast,Greece,Ivory Coast,,FALSE
813,2014,2014/6/25,Group stage,Nigeria,2,3,Argentina,Argentina,Nigeria,,FALSE
814,2014,2014/6/25,Group stage,Bosnia and Herzegovina,3,1,Iran,Bosnia and Herzegovina,Iran,,FALSE
815,2014,2014/6/25,Group stage,Honduras,0,3,Switzerland,Switzerland,Honduras,,FALSE
816,2014,2014/6/25,Group stage,Ecuador,0,0,France,,,,FALSE
817,2014,2014/6/26,Group stage,United States,0,1,Germany,Germany,United States,,FALSE
818,2014,2014/6/26,Group stage,Portugal,2,1,Ghana,Portugal,Ghana,,FALSE
819,2014,2014/6/26,Group stage,South Korea,0,1,Belgium,Belgium,South Korea,,FALSE
820,2014,2014/6/26,Group stage,Algeria,1,1,Russia,,,,FALSE
821,2014,2014/6/28,Round of 16,Brazil,1,1,Chile,,,Brazil win on penalties (3 - 2),TRUE
822,2014,2014/6/28,Round of 16,Colombia,2,0,Uruguay,Colombia,Uruguay,,FALSE
823,2014,2014/6/29,Round of 16,Netherlands,2,1,Mexico,Netherlands,Mexico,,FALSE
824,2014,2014/6/29,Round of 16,Costa Rica,1,1,Greece,,,Costa Rica win on penalties (5 - 3),FALSE
825,2014,2014/6/30,Round of 16,France,2,0,Nigeria,France,Nigeria,,FALSE
826,2014,2014/6/30,Round of 16,Germany,2,1,Algeria,Germany,Algeria,Extra time,FALSE
827,2014,2014/7/1,Round of 16,Argentina,1,0,Switzerland,Argentina,Switzerland,Extra time,FALSE
828,2014,2014/7/1,Round of 16,Belgium,2,1,United States,Belgium,United States,Extra time,FALSE
829,2014,2014/7/4,Quarter-finals,France,0,1,Germany,Germany,France,,FALSE
830,2014,2014/7/4,Quarter-finals,Brazil,2,1,Colombia,Brazil,Colombia,,TRUE
831,2014,2014/7/5,Quarter-finals,Argentina,1,0,Belgium,Argentina,Belgium,,FALSE
832,2014,2014/7/5,Quarter-finals,Netherlands,0,0,Costa Rica,,,Netherlands win on penalties (4 - 3),FALSE
833,2014,2014/7/8,Semi-finals,Brazil,1,7,Germany,Germany,Brazil,,TRUE
834,2014,2014/7/9,Semi-finals,Netherlands,0,0,Argentina,,,Argentina win on penalties (2 - 4),FALSE
835,2014,2014/7/12,Third place,Brazil,0,3,Netherlands,Netherlands,Brazil,,TRUE
836,2014,2014/7/13,Final,Germany,1,0,Argentina,Germany,Argentina,Extra time,FALSE
837,2018,2018/6/14,Group stage,Russia,5,0,Saudi Arabia,Russia,Saudi Arabia,,TRUE
838,2018,2018/6/15,Group stage,Egypt,0,1,Uruguay,Uruguay,Egypt,,FALSE
839,2018,2018/6/15,Group stage,Morocco,0,1,Iran,Iran,Morocco,,FALSE
840,2018,2018/6/15,Group stage,Portugal,3,3,Spain,,,,FALSE
841,2018,2018/6/16,Group stage,France,2,1,Australia,France,Australia,,FALSE
842,2018,2018/6/16,Group stage,Argentina,1,1,Iceland,,,,FALSE
843,2018,2018/6/16,Group stage,Peru,0,1,Denmark,Denmark,Peru,,FALSE
844,2018,2018/6/16,Group stage,Croatia,2,0,Nigeria,Croatia,Nigeria,,FALSE
845,2018,2018/6/17,Group stage,Costa Rica,0,1,Serbia,Serbia,Costa Rica,,FALSE
846,2018,2018/6/17,Group stage,Germany,0,1,Mexico,Mexico,Germany,,FALSE
847,2018,2018/6/17,Group stage,Brazil,1,1,Switzerland,,,,FALSE
848,2018,2018/6/18,Group stage,Sweden,1,0,South Korea,Sweden,South Korea,,FALSE
849,2018,2018/6/18,Group stage,Belgium,3,0,Panama,Belgium,Panama,,FALSE
850,2018,2018/6/18,Group stage,Tunisia,1,2,England,England,Tunisia,,FALSE
851,2018,2018/6/19,Group stage,Colombia,1,2,Japan,Japan,Colombia,,FALSE
852,2018,2018/6/19,Group stage,Poland,1,2,Senegal,Senegal,Poland,,FALSE
853,2018,2018/6/19,Group stage,Russia,3,1,Egypt,Russia,Egypt,,TRUE
854,2018,2018/6/20,Group stage,Portugal,1,0,Morocco,Portugal,Morocco,,FALSE
855,2018,2018/6/20,Group stage,Uruguay,1,0,Saudi Arabia,Uruguay,Saudi Arabia,,FALSE
856,2018,2018/6/20,Group stage,Iran,0,1,Spain,Spain,Iran,,FALSE
857,2018,2018/6/21,Group stage,Denmark,1,1,Australia,,,,FALSE
858,2018,2018/6/21,Group stage,France,1,0,Peru,France,Peru,,FALSE
859,2018,2018/6/21,Group stage,Argentina,0,3,Croatia,Croatia,Argentina,,FALSE
860,2018,2018/6/22,Group stage,Brazil,2,0,Costa Rica,Brazil,Costa Rica,,FALSE
861,2018,2018/6/22,Group stage,Nigeria,2,0,Iceland,Nigeria,Iceland,,FALSE
862,2018,2018/6/22,Group stage,Serbia,1,2,Switzerland,Switzerland,Serbia,,FALSE
863,2018,2018/6/23,Group stage,Belgium,5,2,Tunisia,Belgium,Tunisia,,FALSE
864,2018,2018/6/23,Group stage,South Korea,1,2,Mexico,Mexico,South Korea,,FALSE
865,2018,2018/6/23,Group stage,Germany,2,1,Sweden,Germany,Sweden,,FALSE
866,2018,2018/6/24,Group stage,England,6,1,Panama,England,Panama,,FALSE
867,2018,2018/6/24,Group stage,Japan,2,2,Senegal,,,,FALSE
868,2018,2018/6/24,Group stage,Poland,0,3,Colombia,Colombia,Poland,,FALSE
869,2018,2018/6/25,Group stage,Russia,0,3,Uruguay,Uruguay,Russia,,TRUE
870,2018,2018/6/25,Group stage,Saudi Arabia,2,1,Egypt,Saudi Arabia,Egypt,,FALSE
871,2018,2018/6/25,Group stage,Spain,2,2,Morocco,,,,FALSE
872,2018,2018/6/25,Group stage,Iran,1,1,Portugal,,,,FALSE
873,2018,2018/6/26,Group stage,Australia,0,2,Peru,Peru,Australia,,FALSE
874,2018,2018/6/26,Group stage,Denmark,0,0,France,,,,FALSE
875,2018,2018/6/26,Group stage,Nigeria,1,2,Argentina,Argentina,Nigeria,,FALSE
876,2018,2018/6/26,Group stage,Iceland,1,2,Croatia,Croatia,Iceland,,FALSE
877,2018,2018/6/27,Group stage,South Korea,2,0,Germany,South Korea,Germany,,FALSE
878,2018,2018/6/27,Group stage,Mexico,0,3,Sweden,Sweden,Mexico,,FALSE
879,2018,2018/6/27,Group stage,Serbia,0,2,Brazil,Brazil,Serbia,,FALSE
880,2018,2018/6/27,Group stage,Switzerland,2,2,Costa Rica,,,,FALSE
881,2018,2018/6/28,Group stage,Japan,0,1,Poland,Poland,Japan,,FALSE
882,2018,2018/6/28,Group stage,Senegal,0,1,Colombia,Colombia,Senegal,,FALSE
883,2018,2018/6/28,Group stage,Panama,1,2,Tunisia,Tunisia,Panama,,FALSE
884,2018,2018/6/28,Group stage,England,0,1,Belgium,Belgium,England,,FALSE
885,2018,2018/6/30,Round of 16,France,4,3,Argentina,France,Argentina,,FALSE
886,2018,2018/6/30,Round of 16,Uruguay,2,1,Portugal,Uruguay,Portugal,,FALSE
887,2018,2018/7/1,Round of 16,Russia,1,1,Spain,,,Russia win on penalties (4 - 3),TRUE
888,2018,2018/7/1,Round of 16,Croatia,1,1,Denmark,,,Croatia win on penalties (3 - 2),FALSE
889,2018,2018/7/2,Round of 16,Brazil,2,0,Mexico,Brazil,Mexico,,FALSE
890,2018,2018/7/2,Round of 16,Belgium,3,2,Japan,Belgium,Japan,,FALSE
891,2018,2018/7/3,Round of 16,Sweden,1,0,Switzerland,Sweden,Switzerland,,FALSE
892,2018,2018/7/3,Round of 16,Colombia,1,1,England,,,England win on penalties (3 - 4),FALSE
893,2018,2018/7/6,Quarter-finals,Uruguay,0,2,France,France,Uruguay,,FALSE
894,2018,2018/7/6,Quarter-finals,Brazil,1,2,Belgium,Belgium,Brazil,,FALSE
895,2018,2018/7/7,Quarter-finals,Sweden,0,2,England,England,Sweden,,FALSE
896,2018,2018/7/7,Quarter-finals,Russia,2,2,Croatia,,,Croatia win on penalties (3 - 4),TRUE
897,2018,2018/7/10,Semi-finals,France,1,0,Belgium,France,Belgium,,FALSE
898,2018,2018/7/11,Semi-finals,Croatia,2,1,England,Croatia,England,Extra time,FALSE
899,2018,2018/7/14,Third place,Belgium,2,0,England,Belgium,England,,FALSE
900,2018,2018/7/15,Final,France,4,2,Croatia,France,Croatia,,FALSE
